LAD21NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Rutland,25061,25925,24336,24793,25416,28591,27953,28814,27880,30175,32489,32597
Amber Valley,24685,24719,25259,25349,25660,26694,27832,30031,29696,29602,33614,31174
Bolsover,23548,#,25786,23216,23757,22512,24659,23587,24912,25781,27576,26718
Chesterfield,23879,24226,23890,24340,24163,25731,25775,25843,26008,26551,27590,26646
Derbyshire Dales,29491,28501,#,#,28688,26804,31058,31356,30906,31887,35011,28282
Erewash,23813,24368,26100,27475,26283,26232,26940,26863,27622,29222,29529,30255
High Peak,25850,25949,26210,26713,26728,25497,25429,28654,28246,27581,29357,28665
North East Derbyshire,25149,25725,24771,25706,25836,27012,27838,26523,28919,28442,#,29595
South Derbyshire,24519,24722,26381,27593,27415,26664,29290,30028,32974,32047,35269,32744
Blaby,27531,27190,26636,27502,27656,27466,30372,30294,29618,30834,35234,29137
Charnwood,25463,25404,25177,26991,27112,27584,28462,27279,29660,31622,30232,29279
Harborough,28645,29942,30801,29352,30000,#,33032,36117,35000,34701,36747,36004
Hinckley and Bosworth,25176,25634,25510,25116,25221,25350,26085,27384,28713,29453,29174,30866
Melton,24605,23530,23238,23440,24026,#,25468,26815,27112,26209,27673,24017
North West Leicestershire,24197,24758,25118,25344,25769,25518,25975,26638,29870,30092,30209,31381
Oadby and Wigston,25548,26598,24474,23670,22784,21157,24000,#,27031,27051,34204,26346
Boston,20373,20444,20494,20915,20719,20376,21837,21089,21491,22459,24275,24655
East Lindsey,21344,22227,23186,24336,24102,#,25017,24468,25676,25659,26304,25737
Lincoln,24393,22919,23000,24152,24149,22977,24465,23272,24908,26326,28777,25632
North Kesteven,22882,21862,23846,24890,25840,26510,#,27441,30667,28434,31089,31291
South Holland,23994,23384,24410,24102,24407,23848,25292,24936,25781,26830,30182,30880
South Kesteven,25482,26251,26607,27225,25896,24893,#,26470,26482,28700,27416,28411
West Lindsey,26155,24385,#,26333,23416,25040,25486,27959,29330,29789,30286,31829
Ashfield,21214,21020,21049,21690,23291,23923,24258,24664,25348,26074,26446,27366
Bassetlaw,24340,23720,24107,24826,25450,25212,26444,26056,28436,28231,28975,#
Broxtowe,25935,24880,26818,27142,28266,29171,30678,29428,29195,31669,31847,32458
Gedling,23541,25034,26256,26379,26022,26693,27746,27680,28628,29339,30042,30372
Mansfield,22436,20519,21044,21155,21931,22995,22519,23374,#,24348,25173,27099
Newark and Sherwood,22697,22259,22951,22797,24098,#,25125,24785,27562,26578,30703,30437
Rushcliffe,32892,32558,32307,33330,32442,31969,35113,36520,34891,35545,35262,34425
North Northamptonshire,-,-,-,-,-,-,-,-,-,-,29609,29597
West Northamptonshire,-,-,-,-,-,-,-,-,-,-,30299,30514
"Herefordshire, County of",20681,20561,21022,21241,22972,22601,25004,23328,25153,26235,28463,29258
Shropshire,25424,25078,24775,27515,25346,25563,27264,27193,27633,29584,30105,29558
Stoke-on-Trent,21246,21223,22048,22058,22231,22230,22786,23739,24865,25391,26995,26766
Telford and Wrekin,22382,22802,23039,23489,23505,25022,25472,24246,25923,27671,27902,28450
Cannock Chase,23437,23926,22867,24565,24158,26601,26140,27851,26947,27986,27352,29308
East Staffordshire,23340,23967,24148,25853,24892,25124,26765,26103,26360,26662,29485,28232
Lichfield,28072,27653,29445,29997,29254,#,31725,30369,31700,34038,36396,35714
Newcastle-under-Lyme,23983,22394,22822,24734,24313,24640,25862,24907,26274,26619,29040,29615
South Staffordshire,26217,26304,27079,27545,26404,28337,28811,30322,30942,32611,36519,33075
Stafford,24839,25856,27429,28497,28109,28101,28793,28581,29323,30800,31066,31356
Staffordshire Moorlands,25956,24917,26043,26276,27531,26948,26953,27525,27389,30738,#,31220
Tamworth,25677,25556,26519,24929,23526,23790,25616,25100,27503,27436,25604,27879
North Warwickshire,24752,26548,26339,26133,25118,26329,29010,29884,29749,32968,31388,31332
Nuneaton and Bedworth,24831,25150,25292,26335,25410,25336,25031,27541,26927,27771,28734,28928
Rugby,27834,26937,29134,29691,29342,30593,28813,30708,32537,32029,32429,33364
Stratford-on-Avon,#,27935,27493,29968,#,28509,31137,31649,31996,32773,33371,33923
Warwick,26526,28619,28731,29024,28731,30188,31416,32926,33449,33762,35675,36862
Birmingham,23868,24042,24036,24397,25014,25049,25994,26738,27853,27501,29341,28998
Coventry,23311,24986,24825,26055,25090,26913,27969,28412,28746,28747,29589,30763
Dudley,22265,23196,23950,24347,24882,25635,26845,27258,27275,29218,31091,29438
Sandwell,22357,21882,22516,22363,21739,22991,23201,23832,24668,24878,25938,26630
Solihull,28269,28815,29527,31131,30736,31988,32000,31906,33763,34150,34671,35516
Walsall,22108,21652,22502,22348,22679,23938,24268,24081,24846,26334,27755,28515
Wolverhampton,21409,21553,23192,23777,22796,23096,23085,24047,24964,25463,25609,27503
Bromsgrove,30237,29633,29423,32028,30829,#,30984,33752,34328,34491,34047,34490
Malvern Hills,#,#,23457,27920,23260,26077,26380,31469,26803,#,29550,31181
Redditch,23290,22164,22046,23034,21404,21189,#,24529,24482,25894,26202,25960
Worcester,25006,26034,25837,26535,27337,27247,26522,28578,28441,29011,27598,29984
Wychavon,24298,26595,25349,25203,26405,27309,28019,28968,29998,30723,28601,28189
Wyre Forest,#,20442,21479,23100,22973,25647,25259,25060,26024,27233,30212,29010
Bedford,27654,26714,26976,28766,28042,28030,29564,30250,29741,31624,34562,31036
Central Bedfordshire,29174,28243,28859,30101,30074,30772,32266,31507,32266,34868,36229,35000
Luton,23997,24675,24505,25158,25514,26229,26735,28777,27934,29940,29472,29258
Peterborough,23992,23788,24181,23921,24277,#,24760,24245,25250,27235,27996,28646
Southend-on-Sea,27695,27487,27829,26658,28931,28395,29592,30099,31968,32252,33092,35588
Thurrock,27999,27383,27775,28998,28688,30151,29643,29696,30248,31553,33574,35027
Cambridge,30696,29434,29490,31109,31430,31345,31014,32247,32980,34275,34919,36913
East Cambridgeshire,28193,28715,#,27578,#,29418,28252,30180,29474,32182,32743,32523
Fenland,22675,23874,23837,24255,24459,24727,26454,26419,27708,27935,28678,27655
Huntingdonshire,29019,29084,28522,28050,28816,29051,29445,30694,31760,31699,31140,30577
South Cambridgeshire,32262,31353,32770,34307,33508,31567,35425,35432,37414,40052,38726,39853
Basildon,28192,28395,29416,30449,30347,29217,30560,29839,31084,32748,32597,32745
Braintree,27358,28114,30257,30657,31331,#,31481,31793,32464,33681,33294,31945
Brentwood,36104,37737,36027,39445,40565,39862,41929,41499,#,41542,44005,#
Castle Point,24712,25636,27372,26141,29333,#,28429,32700,31036,33472,33985,#
Chelmsford,29948,31198,32593,30212,30657,31815,31822,31767,30812,32562,35023,37345
Colchester,26603,27089,27139,27164,28280,28515,29032,30923,30906,31091,32523,31445
Epping Forest,30431,30677,33431,32495,34804,34104,35876,35106,35363,37466,36688,36691
Harlow,25382,24453,24769,24807,25513,#,26993,27271,27558,27704,27678,29234
Maldon,33104,33128,#,34516,#,33390,35097,32823,31913,#,37197,36562
