LAD21NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Monmouthshire,26554,28539,29137,28343,30037,30978,31846,31433,33116,34875,34414,34012
Newport,23586,23615,23847,23839,24888,25514,25394,26230,27561,28793,29535,29017
Aberdeen City,27092,28471,28342,27985,29284,30151,29350,28500,29829,30426,30615,29949
Aberdeenshire,28538,28329,29897,29846,29402,30535,29887,29434,30877,32539,33970,32605
Angus,23451,22793,24266,24181,24462,26471,27505,27529,29052,29333,29858,30305
Argyll and Bute,24193,25287,24645,24468,25794,26489,25592,24721,24517,27868,28321,26902
Clackmannanshire,25106,25224,24415,24523,24481,26563,25427,26428,24904,#,29233,30505
Dumfries and Galloway,23461,23934,21798,23262,23932,23867,24414,24565,24130,24461,26142,27555
Dundee City,23012,21810,21913,23467,24021,24086,24800,26289,26339,27346,29570,28192
East Ayrshire,25338,25404,26198,26070,27881,25565,28786,27855,30071,29454,32601,32383
East Dunbartonshire,29153,28902,29165,31085,31951,32045,33356,31949,34589,36166,36839,37402
East Lothian,25671,26335,26460,28000,27668,29038,29737,31777,31628,31654,32098,30788
East Renfrewshire,31040,34200,29957,31250,31525,34772,35410,36354,38136,40218,43289,44557
City of Edinburgh,27700,27573,28482,29637,30013,30015,29426,30546,31521,32098,34124,33241
Na h-Eileanan Siar,23596,24130,25491,24401,24735,24357,24808,24188,26006,27132,26823,33505
Falkirk,24092,24163,24691,26048,26333,26984,28248,27859,29327,29838,30079,30122
Fife,24362,24998,25628,25908,26403,27140,27584,27480,28300,29248,31147,30810
Glasgow City,23534,24447,24443,25069,25759,27340,26860,27112,27710,29542,31468,31872
Highland,23264,23362,23966,25025,25737,26997,27918,28262,29044,29757,32002,31191
Inverclyde,23933,23622,24059,25436,26194,27070,27955,28205,28908,27353,28242,31353
Midlothian,24210,22854,23941,23839,25010,26887,27501,28141,27587,28425,31061,30449
Moray,21879,23834,23290,23697,23303,26134,24519,27082,27269,28103,30024,28685
North Ayrshire,24289,25095,24910,26438,26964,25532,27282,29234,30361,29950,30857,32862
North Lanarkshire,23000,23762,24752,25277,25962,26277,26922,27494,28326,29258,31020,31107
Orkney Islands,26913,#,#,28870,25891,#,29306,26529,30556,30644,35080,26998
Perth and Kinross,24206,24490,25696,24544,24427,26603,27667,27907,29854,31012,30354,30172
Renfrewshire,26407,26245,27354,28433,27071,27957,28930,30765,30971,32722,32580,34606
Scottish Borders,24129,24227,24124,25406,25415,25526,25733,27081,27234,27826,28138,28226
Shetland Islands,27750,27897,27983,28036,28743,29485,31992,31644,33411,31768,34125,33729
South Ayrshire,28434,28783,28932,29511,29332,29594,28907,29505,30913,31648,33445,34065
South Lanarkshire,25654,25307,26100,25999,26824,28247,27993,28743,29497,30522,32998,33630
Stirling,26619,24962,27687,27752,28465,26407,31541,31705,31714,#,32523,34265
West Dunbartonshire,22626,23282,24696,#,25715,27139,26664,26678,26974,27102,28884,31093
West Lothian,23836,23554,25792,25108,26406,26482,26124,28034,28723,29245,31044,30623
