LAD21NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Rutland,217500,204000,210000,209000,220000,240000,244495,249995,264975,275000,315000,301000
Nottingham,100000,95000,99500,99995,110000,115000,124050,130000,138000,140000,153500,166000
Amber Valley,134000,125000,129261,131500,136000,153500,156725,163000,174000,176495,181000,202000
Bolsover,102475,95000,96000,98000,110000,114998,121000,125000,132000,135000,145000,152995
Chesterfield,123995,117000,120000,125000,130000,134250,135000,147750,150000,155000,171000,178500
Derbyshire Dales,215000,197500,199500,219000,220500,225250,235000,245000,264800,265000,275000,290000
Erewash,120000,117500,120000,122500,128000,135000,138000,145000,157500,160000,172500,187350
High Peak,143500,150000,150000,148500,151375,163000,170000,185000,189950,190000,200000,220000
North East Derbyshire,137750,143500,140000,145000,150000,165000,168000,175000,182000,190000,208000,208000
South Derbyshire,148000,142500,149950,148998,163500,170000,178000,197250,210000,218000,219950,222500
Blaby,151000,155000,152500,158000,170000,176000,198000,207975,220000,218000,232500,250000
Charnwood,154975,154000,158250,160000,170000,179950,190000,204950,215000,223000,230000,245000
Harborough,200000,187000,190000,195000,221995,233000,242000,260000,277995,294995,309975,315000
Hinckley and Bosworth,152250,149000,145000,150000,165000,172000,175000,193975,200000,204000,215000,235000
Melton,156000,157500,164000,160000,170000,172500,192250,192250,210000,224475,235000,249995
North West Leicestershire,149950,144995,138500,159000,167500,172995,182000,197495,210000,215000,230000,240000
Oadby and Wigston,150000,150000,144500,145000,156500,167000,180000,189250,205000,225000,235000,250000
Boston,120000,120000,122000,124000,130000,138000,140000,150000,158000,168000,169000,185000
East Lindsey,136125,130290,129000,132500,139000,147500,150000,160000,167000,175000,180000,198500
Lincoln,117000,119000,120000,120000,125000,130000,140000,143950,149000,155000,160000,172000
North Kesteven,148750,144142,145000,145000,157500,168000,176000,188000,193000,200000,212000,225000
South Holland,140000,130000,135000,137500,148500,155000,164995,175000,185000,187000,197498,220000
South Kesteven,161500,152500,155000,155000,169000,178000,186725,199000,217500,215000,225500,240000
West Lindsey,147000,139000,129950,142500,150300,150000,155000,169975,175000,179000,198750,212250
North Northamptonshire,136000,133000,135000,140000,150000,165000,175000,195000,207000,212500,220000,232500
West Northamptonshire,165000,162000,163000,169250,184500,200000,219000,239995,249000,245500,252500,272000
Ashfield,108000,110000,110000,113000,122000,125000,135000,137500,145000,144500,153000,170000
Bassetlaw,125000,123775,120000,123995,125000,134995,140000,148000,157000,163000,175000,180000
Broxtowe,133500,130000,133000,135999,140000,149000,160000,165000,177000,186000,200000,215000
Gedling,135000,130000,127000,133000,144000,150000,154950,168500,178000,185000,197000,215000
Mansfield,110000,105000,105000,110000,115000,122000,127500,130000,137000,150000,150000,165000
Newark and Sherwood,139995,138500,139600,147000,147998,155000,162248,170000,180000,189995,195000,220000
Rushcliffe,200000,190000,193000,200000,210500,235750,251000,265000,273250,280050,299995,299000
"Herefordshire, County of",190000,180000,182500,185000,190000,205000,205000,220000,235000,237000,258500,270000
Telford and Wrekin,139995,135950,139995,142500,146000,152000,159995,163000,167500,175975,187000,200000
Stoke-on-Trent,86000,85000,87500,90000,95555,100000,105000,110000,116000,120000,125250,134000
Shropshire,172500,171000,169000,172000,178500,185000,199950,210000,218000,220000,235050,255000
Cannock Chase,125000,123500,125000,125000,132000,138000,149950,161000,165000,172500,187000,190000
East Staffordshire,140000,134000,135000,140000,149950,160000,160000,174998,179973,190500,210000,210000
Lichfield,189950,174475,180000,180000,192000,200000,210498,229000,242500,252350,266000,277500
Newcastle-under-Lyme,124950,121250,124995,128000,130000,134000,136250,134975,145000,148000,160000,168000
South Staffordshire,180000,170000,176848,173000,179998,190000,199000,217500,215000,229725,245000,261500
Stafford,160000,157000,157000,160000,166995,179000,187000,196500,202500,217000,215975,222000
Staffordshire Moorlands,140000,135000,135000,135000,143000,154000,153000,162000,164050,170000,186000,195000
Tamworth,136000,131000,134000,138000,145000,150000,166000,175250,192750,209750,215500,220000
North Warwickshire,150000,142000,147250,150000,156000,173000,180000,191000,205000,210000,229000,240000
Nuneaton and Bedworth,125000,125000,127995,129000,135000,145000,153000,162250,179950,184995,190000,202500
Rugby,160000,152500,159475,165000,184950,187500,201450,218250,245000,249998,250000,260000
Stratford-on-Avon,234975,231250,245000,245000,250000,275000,290000,300000,315000,315000,325000,340000
Warwick,210000,204750,210000,220000,239000,260000,280000,290000,305000,305000,322500,325000
Bromsgrove,204250,202250,205000,206000,225000,245000,259950,269475,285000,285000,300000,320000
Malvern Hills,212500,209995,200000,207250,218000,226000,246750,257500,274598,285000,295000,310000
Redditch,150000,141000,145000,154000,165000,170000,176250,195000,207500,217000,224950,235000
Worcester,157500,158250,162750,163000,170000,181000,180975,188250,197500,205000,213250,225000
Wychavon,203000,200000,195000,197000,218000,232995,246750,262500,271000,272000,292725,300000
Wyre Forest,150000,145000,146578,150000,155000,156725,165000,174500,185000,185000,202000,220000
