LAD21NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Vale of Glamorgan,170000,165000,169000,175000,180000,189950,195000,213250,219995,220000,235000,256000
Cardiff,159950,156000,158000,165000,167250,172000,180000,185000,200000,208000,220000,240500
Rhondda Cynon Taf,90000,89950,90000,92000,96500,106000,110000,110000,110000,115000,120875,134950
Caerphilly,106000,110000,110000,114973,120000,118500,120000,125000,129875,137500,144975,156075
Blaenau Gwent,75000,71500,70000,72000,75500,78000,80000,82000,84975,90000,95000,110000
Torfaen,118000,118125,120000,120000,120000,122000,128500,135000,147750,155000,159225,168000
Monmouthshire,192250,190000,190000,185000,207000,210000,215000,228000,244475,255000,268725,292995
Newport,124999,125000,125000,128373,140000,150000,155000,157500,166300,180000,185000,200000
Powys,165000,155000,155000,160000,160000,164000,167500,175000,180000,179500,190000,215000
Merthyr Tydfil,85000,85000,83000,87000,89000,89000,90000,95000,94250,108000,116000,125000
,,,,,,,,,,,,
